Eddie McGoldrick,300000,In,1996
Keith Curle,650000,Out,1996
Paul Dickov,1000000,In,1996
Scott Hiley,250000,In,1995
David Kerr,20000,Out,1995
Mikhail Kavelashvili,1400000,In,1995
Tony Coton,500000,Out,1995
Nigel Clough,1500000,In,1995
David Brightwell,30000,Out,1995
Martin Phillips,500000,In,1995
Paul Walsh,500000,Out,1995
Gerry Creaney,1500000,In,1995
Andy Hill,150000,Out,1995
Georgi Kinkladze,2000000,In,1995
Adie Mike,60000,Out,1995
Kit Symons,1200000,In,1995
Fitzroy Simpson,200000,Out,1995
Eike Immel,400000,In,1995
Carl Griffiths,200000,Out,1995
John Burridge,NA,Out,1995
Gary Flitcroft,3500000,In,1995
John Burridge,NA,In,1994
Mike Quigley,NA,Out,1994
Ray Kelly,30000,In,1994
Steve Finney,NA,Out,1994
Steve McMahon,NA,Out,1994
Mike Sheron,1000000,Out,1994
David Rocastle,1250000,Out,1994
Nicky Summerbee,1500000,In,1993
David White,2000000,Out,1993
Peter Beagrie,1100000,In,1993
Rick Holden,450000,Out,1993
Paul Walsh,750000,In,1993
Peter Reid,NA,Out,1993
Uwe Rosler,750000,In,1993
David Rocastle,2000000,In,1993
Carl Griffiths,500000,In,1993
Alan Kernaghan,1600000,In,1993
Steve Finney,NA,In,1992
Mark Brennan,200000,Out,1992
Terry Phelan,2500000,In,1992
Mark Peters,NA,Out,1992
Rick Holden,900000,In,1992
Michael Hughes,450000,Out,1992
